"mapping_rate","sequencing_depth","frip","frac_open","mt_content","uniq_frags","dup_level","batch","total_features_by_counts","log10_total_features_by_counts","total_counts","log10_total_counts","pct_counts_in_top_50_features","pct_counts_in_top_100_features","pct_counts_in_top_200_features","pct_counts_in_top_500_features","pct_counts_top_50_features","pct_counts_top_100_features","pct_counts_top_200_features","pct_counts_top_500_features","qc_exclude","is_cell_control","total_features_by_binary_exprs","log10_total_features_by_binary_exprs","total_binary_exprs","log10_total_binary_exprs","pct_binary_exprs_in_top_50_features","pct_binary_exprs_in_top_100_features","pct_binary_exprs_in_top_200_features","pct_binary_exprs_in_top_500_features","total_features","log10_total_features","pct_binary_exprs_top_50_features","pct_binary_exprs_top_100_features","pct_binary_exprs_top_200_features","pct_binary_exprs_top_500_features",".cluster_5","dpt_cardiac","dpt_endo","dpt_cl3","dpt_cl3_cl5","dpt_cl4"
"E8.5_CPC_p2_069",96.69,786696,0.577128,0.252378,0.019627,65284,0.907178,"E8.5",21751,4.33749919457944,76818,4.88546864938853,5.55468770340285,6.58569606081908,8.40558202504621,13.0047645083184,5.55468770340285,6.58569606081908,8.40558202504621,13.0047645083184,"pass",FALSE,20665,4.31525642505321,20665,4.31525642505321,0.241954996370675,0.48390999274135,0.9678199854827,2.41954996370675,20665,4.31525642505321,0.241954996370675,0.48390999274135,0.9678199854827,2.41954996370675,"3",NA,NA,0.537619527013753,0.525074716954139,NA
"E8.5_CPC_p2_266",96.21,764112,0.552194,0.228158,0.046085,63401,0.902394,"E8.5",19662,4.29364977921584,73365,4.86549484147789,10.8321406665304,11.8898657397942,13.7463368091052,18.3370817147141,10.8321406665304,11.8898657397942,13.7463368091052,18.3370817147141,"pass",FALSE,18769,4.27346427262135,18769,4.27346427262135,0.266396717992434,0.532793435984869,1.06558687196974,2.66396717992434,18769,4.27346427262135,0.266396717992434,0.532793435984869,1.06558687196974,2.66396717992434,"3",NA,NA,0.580370034956103,0.569490173653384,NA
"E8.5_CPC_p2_123",95.86,503702,0.550486,0.163307,0.046313,43079,0.899694,"E8.5",14070,4.14832496303882,49700,4.69636512696498,11.7162977867203,13.1549295774648,15.5674044265594,21.430583501006,11.7162977867203,13.1549295774648,15.5674044265594,21.430583501006,"pass",FALSE,13574,4.13273983826088,13574,4.13273983826088,0.368351259761308,0.736702519522617,1.47340503904523,3.68351259761308,13574,4.13273983826088,0.368351259761308,0.736702519522617,1.47340503904523,3.68351259761308,"1",1.35487773457788,NA,NA,NA,1.22644084810053
"E8.5_CPC_p2_167",95.05,11411106,0.075704,0.434185,0.001806,1073680,0.894831,"E8.5",37408,4.57297609899514,162379,5.2105325370694,9.13726528676738,9.99882989795478,11.4633049840189,15.0690668128268,9.13726528676738,9.99882989795478,11.4633049840189,15.0690668128268,"pass",FALSE,32172,4.50749155896537,32172,4.50749155896537,0.155414646276265,0.31082929255253,0.62165858510506,1.55414646276265,32172,4.50749155896537,0.155414646276265,0.31082929255253,0.62165858510506,1.55414646276265,"3",NA,NA,0.323131192943969,0.467350304457552,NA
"E8.5_CPC_p2_056",96.38,599927,0.577262,0.195414,0.047465,51053,0.900404,"E8.5",16841,4.22639366301808,61844,4.79130459385704,10.5006144492594,11.7004074768773,13.7668973546342,18.9654614837333,10.5006144492594,11.7004074768773,13.7668973546342,18.9654614837333,"pass",FALSE,16283,4.21176109370736,16283,4.21176109370736,0.307068721979979,0.614137443959958,1.22827488791992,3.07068721979979,16283,4.21176109370736,0.307068721979979,0.614137443959958,1.22827488791992,3.07068721979979,"1",1.42713843905726,NA,NA,NA,1.26085005444385
"E8.5_CPC_p2_070",97.26,1019604,0.627079,0.207871,0.137117,65328,0.914879,"E8.5",17910,4.25311983388689,94634,4.97605178646166,22.7560918908638,23.842382230488,25.7053490288903,30.3474438362534,22.7560918908638,23.842382230488,25.7053490288903,30.3474438362534,"pass",FALSE,17121,4.23355449271452,17121,4.23355449271452,0.292039016412593,0.584078032825185,1.16815606565037,2.92039016412593,17121,4.23355449271452,0.292039016412593,0.584078032825185,1.16815606565037,2.92039016412593,"3",NA,NA,0.401756769338955,0.484979167254283,NA
"E8.5_CPC_p2_325",97.74,620123,0.678148,0.222301,0.050258,52459,0.902264,"E8.5",19155,4.28230482837057,74815,4.87399448514573,8.75626545478848,9.92448038494954,11.9427922208113,17.0259974604023,8.75626545478848,9.92448038494954,11.9427922208113,17.0259974604023,"pass",FALSE,18334,4.26328091429662,18334,4.26328091429662,0.272717355732519,0.545434711465038,1.09086942293008,2.72717355732519,18334,4.26328091429662,0.272717355732519,0.545434711465038,1.09086942293008,2.72717355732519,"3",NA,NA,0.548477916487602,0.539748850138236,NA
"E8.5_CPC_p2_300",97.23,881776,0.63121,0.260265,0.018672,75262,0.90567,"E8.5",22427,4.35079054742646,96732,4.98557465684439,4.20129843278336,5.29607575569615,7.24062357854691,12.2296654674772,4.20129843278336,5.29607575569615,7.24062357854691,12.2296654674772,"pass",FALSE,21402,4.33047465148614,21402,4.33047465148614,0.233623025885431,0.467246051770863,0.934492103541725,2.33623025885431,21402,4.33047465148614,0.233623025885431,0.467246051770863,0.934492103541725,2.33623025885431,"1",1.50377971054773,NA,NA,NA,1.32926015638431
"E8.5_CPC_p2_209",96.47,835196,0.523141,0.245685,0.035269,73582,0.899424,"E8.5",21174,4.32582341900274,79769,4.90183959205123,9.56888014140832,10.6231744161266,12.4622347027041,17.0805701462974,9.56888014140832,10.6231744161266,12.4622347027041,17.0805701462974,"pass",FALSE,20242,4.30627487510935,20242,4.30627487510935,0.247011164904654,0.494022329809307,0.988044659618615,2.47011164904654,20242,4.30627487510935,0.247011164904654,0.494022329809307,0.988044659618615,2.47011164904654,"3",NA,NA,0.37927224070448,0.398957987482544,NA
"E8.5_CPC_p2_287",95.24,649131,0.644077,0.200703,0.033797,52774,0.904688,"E8.5",17298,4.23802099867595,70337,4.84719001536971,9.07061717161665,10.4127272985769,12.7685286549042,18.6061390164494,9.07061717161665,10.4127272985769,12.7685286549042,18.6061390164494,"pass",FALSE,16607,4.22031733616836,16607,4.22031733616836,0.301077858734269,0.602155717468537,1.20431143493707,3.01077858734269,16607,4.22031733616836,0.301077858734269,0.602155717468537,1.20431143493707,3.01077858734269,"3",NA,NA,0.537658693594318,0.535538342338757,NA
"E8.5_CPC_p2_226",94.32,302277,0.661813,0.114033,0.082153,24110,0.897374,"E8.5",9824,3.99233255904746,34601,4.53910120179454,16.5515447530418,18.2104563451923,21.1005462269877,28.1928267969134,16.5515447530418,18.2104563451923,21.1005462269877,28.1928267969134,"pass",FALSE,9557,3.98036702618478,9557,3.98036702618478,0.52317672909909,1.04635345819818,2.09270691639636,5.2317672909909,9557,3.98036702618478,0.52317672909909,1.04635345819818,2.09270691639636,5.2317672909909,"3",NA,NA,0.396926561215131,0.517883848645633,NA
"E8.5_CPC_p2_196",94.66,642972,0.662327,0.187132,0.052265,49069,0.907363,"E8.5",16130,4.20766129119678,68572,4.83615314982917,12.5765618619845,13.9532170565245,16.3156973691886,22.1052324563962,12.5765618619845,13.9532170565245,16.3156973691886,22.1052324563962,"pass",FALSE,15623,4.1937922302798,15623,4.1937922302798,0.320040965243551,0.640081930487102,1.2801638609742,3.20040965243551,15623,4.1937922302798,0.320040965243551,0.640081930487102,1.2801638609742,3.20040965243551,"3",NA,NA,0.395165773111027,0.421820673283063,NA
