"V1","V2"
"E8.5_CPC_p2_069",-12.1790513854726,-18.6822076330133
"E8.5_CPC_p2_266",-7.54959770161229,-14.0576321652599
"E8.5_CPC_p2_123",28.1641263837619,15.7001776189935
"E8.5_CPC_p2_167",-28.0561124484905,2.42763824235478
"E8.5_CPC_p2_056",34.9875838859897,7.45173470854846
"E8.5_CPC_p2_070",7.06710230275952,-13.5932955175762
"E8.5_CPC_p2_325",-8.65498469460076,-11.0483187695159
"E8.5_CPC_p2_300",34.4686207120749,8.83519033817942
"E8.5_CPC_p2_209",-28.111829785555,-5.49147896762089
"E8.5_CPC_p2_287",-5.06326590810892,-23.2323583747216
"E8.5_CPC_p2_226",6.45383640956627,-12.6567579504811
"E8.5_CPC_p2_196",-23.8620154010757,-1.35615845908811
"E8.5_CPC_p2_299",-16.380907870771,-32.2339006778566
"E8.5_CPC_p2_277",-13.7880396000595,-8.70068716911347
"E8.5_CPC_p2_073",-5.76674897980716,-23.5413606650767
"E8.5_CPC_p2_151",40.6618617011816,19.7250654819526
"E8.5_CPC_p2_080",31.9365244412869,13.5668759221416
"E8.5_CPC_p2_143",-13.4805210388817,-7.67830275527813
"E8.5_CPC_p2_281",-10.6228391549649,-13.4974265986161
"E8.5_CPC_p2_053",43.3484571641337,13.4288416333885
"E8.5_CPC_p2_379",-38.6318824873002,21.0345391467146
"E8.5_CPC_p2_093",16.3000655973948,39.8896559109299
"E8.5_CPC_p2_104",-14.9957434936729,-25.612637632003
"E8.5_CPC_p2_045",-30.2029301841654,18.3278112252796
"E8.5_CPC_p2_318",48.7202777313572,-1.18934004788603
"E8.5_CPC_p2_013",-21.5902168390984,-7.44779914862322
"E8.5_CPC_p2_267",29.9853815500882,30.224772569517
"E8.5_CPC_p2_270",46.5801502693748,3.84858879645931
"E8.5_CPC_p2_035",16.0249791287683,39.477822719236
"E8.5_CPC_p2_227",42.4779564422328,0.399344826855579
"E8.5_CPC_p2_313",48.0110552552737,0.591637204992532
"E8.5_CPC_p2_260",-20.5084157934721,-8.20751975340267
"E8.5_CPC_p2_075",36.3521984650842,23.6433320521127
"E8.5_CPC_p2_038",-19.3140635155435,-24.4401734340489
"E8.5_CPC_p2_164",-15.1490903566528,-12.2250154043979
"E8.5_CPC_p2_122",-13.7878579319366,-20.2179404577796
"E8.5_CPC_p2_207",17.0381183996154,39.1408153299664
"E8.5_CPC_p2_145",-8.71461884908723,-23.0325990770345
"E8.5_CPC_p2_065",-7.48352769815556,-13.8025914937613
"E8.5_CPC_p2_321",0.128444722057676,-19.3506517577001
"E8.5_CPC_p2_091",-32.9110761863099,17.5130618102588
"E8.5_CPC_p2_374",-17.5063376902455,-5.9962556153301
"E8.5_CPC_p2_263",-15.7782323480507,-24.4193526916253
"E8.5_CPC_p2_368",27.9760255100397,20.3300268281006
"E8.5_CPC_p2_042",-20.9552667098078,-25.7868907443256
"E8.5_CPC_p2_229",-21.3585503773515,-2.62772386311083
"E8.5_CPC_p2_333",-23.1539162822142,-5.42152812506055
"E8.5_CPC_p2_189",-14.2977598665095,-13.277615609581
"E8.5_CPC_p2_161",-9.1548560150006,-14.7261203347475
"E8.5_CPC_p2_237",-13.5421888415116,-18.225873377547
"E8.5_CPC_p2_124",-5.80766295517889,-25.8156502988208
"E8.5_CPC_p2_297",-19.3656810770648,-1.23801470161143
"E8.5_CPC_p2_022",-5.29513858524715,-24.6246061799654
"E8.5_CPC_p2_279",7.1349924823678,-14.4883543033407
"E8.5_CPC_p2_316",44.8745704733827,-3.81363654307957
"E8.5_CPC_p2_319",32.788034813384,2.48670006955194
"E8.5_CPC_p2_285",27.1284467253305,14.0932959230225
"E8.5_CPC_p2_020",-19.6754639793595,-23.2565159923765
"E8.5_CPC_p2_187",29.5342486959054,14.5208697859917
"E8.5_CPC_p2_060",38.6062476864249,11.3486932571544
"E8.5_CPC_p2_203",40.7826257212048,-2.00748250050899
"E8.5_CPC_p2_009",-26.3598088901939,0.367344107523343
"E8.5_CPC_p2_017",37.7368233269624,12.0163154899972
