"Cell","Background","Timepoint","X3_prime_bias","aligned_to_genes","intergenic","exonic","X5_prime_bias","secondaryalignments","readsaligned","totalalignments","non_uniquealignments","intronic","percent_genes","is.sc","is.neg.ctrl","is.pos.ctrl","Platform","total_counts","log10_total_counts","filter_on_total_counts","total_features","log10_total_features","filter_on_total_features","pct_dropout","exprs_feature_controls_mito","pct_exprs_feature_controls_mito","filter_on_pct_exprs_feature_controls_mito","counts_feature_controls_mito","pct_counts_feature_controls_mito","filter_on_pct_counts_feature_controls_mito","tpm_feature_controls_mito","pct_tpm_feature_controls_mito","filter_on_pct_tpm_feature_controls_mito","n_detected_feature_controls_mito","exprs_feature_controls_housekeeping","pct_exprs_feature_controls_housekeeping","filter_on_pct_exprs_feature_controls_housekeeping","counts_feature_controls_housekeeping","pct_counts_feature_controls_housekeeping","filter_on_pct_counts_feature_controls_housekeeping","tpm_feature_controls_housekeeping","pct_tpm_feature_controls_housekeeping","filter_on_pct_tpm_feature_controls_housekeeping","n_detected_feature_controls_housekeeping","log10_counts_feature_controls_mito","log10_tpm_feature_controls_mito","log10_counts_feature_controls_housekeeping","log10_tpm_feature_controls_housekeeping","qc.exclude","n_detected_feature_controls","counts_feature_controls","pct_counts_feature_controls","filter_on_pct_counts_feature_controls","pct_counts_top_50_features","pct_counts_top_100_features","pct_counts_top_200_features","pct_counts_top_500_features","pct_counts_top_50_endogenous_features","pct_counts_top_100_endogenous_features","pct_counts_top_200_endogenous_features","pct_counts_top_500_endogenous_features","tpm_feature_controls","pct_tpm_feature_controls","filter_on_pct_tpm_feature_controls","pct_tpm_top_50_features","pct_tpm_top_100_features","pct_tpm_top_200_features","pct_tpm_top_500_features","pct_tpm_top_50_endogenous_features","pct_tpm_top_100_endogenous_features","pct_tpm_top_200_endogenous_features","pct_tpm_top_500_endogenous_features","counts_endogenous_features","tpm_endogenous_features","log10_counts_feature_controls","log10_tpm_feature_controls","log10_counts_endogenous_features","log10_tpm_endogenous_features","is_cell_control","cellcycle","cluster","tsne1","tsne2","dpt","dm1","dm2","dm3"
"c1run1_02_X_isl1.e8.5","c1run1_02_X_isl1-e8.5","isl1","e8.5",0.51,2022607,1516623,2022607,0.66,1598329,5947381,7545710,2427761,1564351,34.0083643539904,TRUE,FALSE,FALSE,"C1",4610062.19,6.66370678408632,FALSE,185,2.26717172840301,FALSE,98.4651124201444,156.412269795665,0.435633252238736,FALSE,123413.48,2.64254773731405,FALSE,171.295653429717,0.550401885328474,FALSE,10,11.5596933041148,0.0321955994598926,FALSE,9384.52,0.200942734065829,FALSE,11.2506477968109,0.0361502328549867,FALSE,1,5.09136611768077,2.23627432146834,3.9724583394906,1.08815905418153,FALSE,0,0,0,FALSE,19.3666014297303,27.6717297386393,38.2117576162242,56.1658269082915,19.3666014297303,27.6717297386393,38.2117576162242,56.1658269082915,0,0,FALSE,2.07923077533697,3.99738391802707,7.56637212587449,17.1446275909202,2.07923077533697,3.99738391802707,7.56637212587449,17.1446275909202,4610062.19,28774.0948917551,0,0,6.66370687829208,4.45901676447899,FALSE,"G1",NA,-0.6072938158091,10.4234038515126,0.076300824649665,0.0258992203634746,0.0174566142955389,0.00111416799405428
"c1run1_03_X_isl1.e8.5","c1run1_03_X_isl1-e8.5","isl1","e8.5",0.52,1592974,1261174,1592974,0.64,1332392,5383416,6715808,2007041,1843821,29.5903939060255,TRUE,FALSE,FALSE,"C1",3655751.44,6.56297665973517,FALSE,159,2.20139712432045,FALSE,98.6808263502862,144.919227085858,0.342502296798604,FALSE,67717.03,1.83969197424198,FALSE,160.039897111877,0.431559466295848,FALSE,10,12.2416999324604,0.0289320501350931,FALSE,11868.17,0.322426679048674,FALSE,12.0879401246221,0.0325960281338555,FALSE,1,4.83070431546505,2.20693348441066,4.07442035020791,1.11687129949918,FALSE,0,0,0,FALSE,18.3234432371584,26.1387656049176,36.0801124378412,52.504884467747,18.3234432371584,26.1387656049176,36.0801124378412,52.504884467747,0,0,FALSE,1.73897381357071,3.32169006635666,6.26260605146972,14.1914828257078,1.73897381357071,3.32169006635666,6.26260605146972,14.1914828257078,3655751.44,34371.5120910968,0,0,6.56297677853275,4.53621127340675,FALSE,"G1",4,-3.56639172098921,2.50920479743992,0.0867276230086779,0.028708276848332,-0.00189772997480314,0.0334001828693472
"c1run1_05_X_isl1.e8.5","c1run1_05_X_isl1-e8.5","isl1","e8.5",0.54,1183338,1012203,1183338,0.61,1079343,4438431,5517774,1613633,1700493,26.6611782406891,TRUE,FALSE,FALSE,"C1",2723235.06,6.43508512971858,FALSE,167,2.22271647114758,FALSE,98.6144528333195,156.03320809577,0.376171913459433,FALSE,82507.36,3.0106413210552,FALSE,170.810366781902,0.471093471560003,FALSE,12,12.1142960184969,0.0292056926157344,FALSE,8089.17,0.295168691072409,FALSE,11.9476844182731,0.0329516073043408,FALSE,1,4.91649795482781,2.2350493649687,3.90795764760562,1.11219210553801,FALSE,0,0,0,FALSE,19.5689016283449,27.5013347544079,37.7530230533974,54.1554080902586,19.5689016283449,27.5013347544079,37.7530230533974,54.1554080902586,0,0,FALSE,1.78109639383866,3.41570822359902,6.44124628159268,14.5836082909787,1.78109639383866,3.41570822359902,6.44124628159268,14.5836082909787,2723235.06,33554.870658863,0,0,6.43508528919596,4.52576851173924,FALSE,"G1",5,16.8743081311539,24.9969564675313,0.0175002048559844,0.0359541018670238,0.0723347686980156,-0.145644716531276
"c1run1_09_X_isl1.e8.5","c1run1_09_X_isl1-e8.5","isl1","e8.5",0.49,1767629,1394725,1767629,0.61,1644726,5626861,7271587,2448274,1649811,31.4141223676931,TRUE,FALSE,FALSE,"C1",4112377.56,6.61409298067038,FALSE,180,2.25527250510331,FALSE,98.5065958682486,149.954359047091,0.363667898508216,FALSE,83010.55,2.01009467165959,FALSE,163.591983462399,0.455868205594437,FALSE,10,12.0777839833128,0.0292909279047246,FALSE,11884.84,0.28779057068682,FALSE,11.8645227858164,0.0330618811394727,FALSE,1,4.91913852312651,2.21640867885421,4.0750298797515,1.10939368053233,FALSE,0,0,0,FALSE,19.3589445128671,27.1494962150313,36.9913114203453,53.4088854429017,19.3589445128671,27.1494962150313,36.9913114203453,53.4088854429017,0,0,FALSE,1.77510303331074,3.40416695636161,6.44934422360173,14.6031980493921,1.77510303331074,3.40416695636161,6.44934422360173,14.6031980493921,4112377.56,33605.8621421688,0,0,6.61409308627703,4.52642796447903,FALSE,"G1",NA,20.404252082481,22.2436792676634,0.0168357709035934,0.0345424385604003,0.0700610489253393,-0.153561786483211
"c1run1_10_X_isl1.e8.5","c1run1_10_X_isl1-e8.5","isl1","e8.5",0.54,1698023,1269914,1698023,0.6,1610451,4976964,6587415,2409610,1196228,34.1176468224403,TRUE,FALSE,FALSE,"C1",3991632.11,6.60115050757539,FALSE,173,2.2380461031288,FALSE,98.5646726955945,153.619862537995,0.34067621146155,FALSE,96506.28,2.40376563916433,FALSE,168.250285925035,0.434248126587918,FALSE,12,12.343721100726,0.0273741433591849,FALSE,13893.51,0.346057706766709,FALSE,12.1205651362664,0.0312827563690182,FALSE,1,4.98456007546375,2.22852941103848,4.1428432356727,1.11795254161557,FALSE,0,0,0,FALSE,20.9647619554799,28.8993426300501,38.8297214594759,54.0669701146381,20.9647619554799,28.8993426300501,38.8297214594759,54.0669701146381,0,0,FALSE,1.66634429978996,3.18181926744169,5.99931795248291,13.5174817389633,1.66634429978996,3.18181926744169,5.99931795248291,13.5174817389633,3991632.11,36113.8883195412,0,0,6.6011506163766,4.55768627620082,FALSE,"G1",NA,4.86551861269378,25.8385314609339,0.0481236016700941,0.0316307604705095,-0.0450114125467709,-0.0968285000813139
"c1run1_14_X_isl1.e8.5","c1run1_14_X_isl1-e8.5","isl1","e8.5",0.48,1824381,1336366,1824381,0.6,1488944,5079929,6568873,2231520,1163713,35.9135137518654,TRUE,FALSE,FALSE,"C1",4217056.34,6.62500940324101,FALSE,165,2.21748394421391,FALSE,98.6310462125612,132.813845199029,0.320270754879432,FALSE,43811,1.03525131264968,FALSE,150.693762366283,0.413405880785032,FALSE,8,12.2356165285813,0.0295052833998715,FALSE,13587.41,0.32106968656295,FALSE,12.1241536299045,0.0332608087517308,FALSE,1,4.64159307899735,2.18096772300427,4.13316864226417,1.11807130554739,FALSE,0,0,0,FALSE,20.2466306153263,27.6366338515647,37.6358986467797,53.9697520379819,20.2466306153263,27.6366338515647,37.6358986467797,53.9697520379819,0,0,FALSE,1.74727467633796,3.33230053779546,6.27796808499323,14.2244911784765,1.74727467633796,3.33230053779546,6.27796808499323,14.2244911784765,4217056.34,34359.8535521141,0,0,6.62500950622622,4.5360639435285,FALSE,"S",4,5.10358069873682,6.03884176860086,0.0836177662986093,0.0223553421385665,0.0106493144377952,0.0150762256949056
"c1run1_15_X_isl1.e8.5","c1run1_15_X_isl1-e8.5","isl1","e8.5",0.53,1189236,884912,1189236,0.6,1006131,3678447,4684578,1504892,1098057,32.3298391957258,TRUE,FALSE,FALSE,"C1",2760187.37,6.44093856430981,FALSE,172,2.23552844690755,FALSE,98.5729693852153,141.672369495982,0.341851375305195,FALSE,43475.26,1.56739995453179,FALSE,146.181817598303,0.404161958499071,FALSE,8,11.64294898437,0.0280941028732351,FALSE,5904.8,0.212883908032277,FALSE,11.4661172581341,0.0317014009236213,FALSE,1,4.63825217729045,2.16785416187335,3.77127873548935,1.09573120761302,FALSE,0,0,0,FALSE,21.0173507170276,29.3056572460152,39.2950649578546,55.0679155524141,21.0173507170276,29.3056572460152,39.2950649578546,55.0679155524141,0,0,FALSE,1.74883549638131,3.35921545075515,6.36477100226272,14.4452692731601,1.74883549638131,3.35921545075515,6.36477100226272,14.4452692731601,2760187.37,33972.9056281646,0,0,6.44093872165217,4.53114547607991,FALSE,"G1",NA,18.0965730277005,12.3772689780328,0.0974835786418032,0.00467071976459597,0.0230471501589611,-0.00594567250886614
"c1run1_16_X_isl1.e8.5","c1run1_16_X_isl1-e8.5","isl1","e8.5",0.5,2674396,1885753,2674396,0.6,2225037,7357080,9582117,3397103,1604429,36.3513241666531,TRUE,FALSE,FALSE,"C1",6234114.5,6.79477477456282,FALSE,163,2.21218760440396,FALSE,98.6476395918029,157.845954828488,0.395091564736211,FALSE,196769.67,3.1204790582328,FALSE,170.496945424991,0.49760584625603,FALSE,10,12.3278104741794,0.030856754836114,FALSE,21582.16,0.342261479177302,FALSE,11.9989958222691,0.0350198090381014,FALSE,1,5.29396036438781,2.23425638911998,4.33411503024927,1.1139098041767,FALSE,0,0,0,FALSE,19.8226319070655,27.6500091552697,37.3888638073618,53.7297783029168,19.8226319070655,27.6500091552697,37.3888638073618,53.7297783029168,0,0,FALSE,1.93178398102206,3.68657418280127,6.90376382131301,15.4321125615866,1.93178398102206,3.68657418280127,6.90376382131301,15.4321125615866,6234114.5,31505.0876619764,0,0,6.79477484422699,4.4983944770456,FALSE,"G1",4,-23.2485503518565,-9.55861987687808,0.0866523822767434,0.0306364163093212,0.0128167222538207,0.0368537781516554
"c1run1_17_X_isl1.e8.5","c1run1_17_X_isl1-e8.5","isl1","e8.5",0.52,1175270,902767,1175270,0.62,1079932,3968845,5048777,1605714,1356380,29.6123935301076,TRUE,FALSE,FALSE,"C1",2731324.89,6.4363733623668,FALSE,164,2.2148438480477,FALSE,98.639342902182,149.714554882788,0.347034182466285,FALSE,46318.42,1.68587150431428,FALSE,166.708987442434,0.442930973007302,FALSE,9,12.3194029180512,0.0285560340040805,FALSE,9348.8,0.340272304615168,FALSE,12.1450596436448,0.0322683447828442,FALSE,1,4.66576311262835,2.22455633685813,3.97080232105162,1.11876256098989,FALSE,0,0,0,FALSE,19.8666501369597,27.5709287736912,37.3811011549051,53.3865343276683,19.8666501369597,27.5709287736912,37.3811011549051,53.3865343276683,0,0,FALSE,1.70633915587404,3.26119470790313,6.15525929742635,13.9102200868856,1.70633915587404,3.26119470790313,6.15525929742635,13.9102200868856,2731324.89,35091.9194851171,0,0,6.43637352137183,4.54521949997756,FALSE,"G1",5,13.9682473631375,31.8537832958338,0.00960537160436688,0.0378399522020859,0.0816640445727248,-0.163143962506049
"c1run1_19_X_isl1.e8.5","c1run1_19_X_isl1-e8.5","isl1","e8.5",0.5,1938746,1408983,1938746,0.58,1703669,5442910,7146579,2567809,1218525,35.6196593366416,TRUE,FALSE,FALSE,"C1",4556417.92,6.65862355123364,FALSE,176,2.24551266781415,FALSE,98.5397826267319,156.115264895703,0.390101940373331,FALSE,115861.19,2.5338305827459,FALSE,169.255721631559,0.485612652820461,FALSE,12,12.175496211014,0.0304242170046461,FALSE,14081.79,0.307962227574267,FALSE,11.9658888762612,0.0343314068472386,FALSE,1,5.06394173317328,2.23110171577578,4.14868870321312,1.11280229517577,FALSE,0,0,0,FALSE,22.8289335671825,30.9868955128681,40.9536853897721,56.8147930117876,22.8289335671825,30.9868955128681,40.9536853897721,56.8147930117876,0,0,FALSE,1.85667584179453,3.52768673974675,6.63756028123935,14.9563772970163,1.85667584179453,3.52768673974675,6.63756028123935,14.9563772970163,4556417.92,32739.6832928936,0,0,6.65862364654853,4.51508773882781,FALSE,"G2M",5,18.7620084064322,17.9634684084866,0.0245134847370614,0.0321267338426422,0.0679194298418732,-0.141181791977998
