,0,1,2,3,4,5,6,7,8,9,10,11,12,13
314,chr1,1333192,1333692,+,0,,"intron,(NM_001039577,,intron,3,of,5)",1276,NM_001039577,81669,Hs.515704,NM_030937,CCNL2,"cyclin,L2"
1984,chr1,9112348,9112848,+,0,,"intron,(NM_003039,,intron,3,of,11)",17289,NM_001135585,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1985,chr1,9118118,9118618,+,0,,"intron,(NM_003039,,intron,1,of,11)",11519,NM_001135585,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1986,chr1,9121350,9121850,+,0,,"intron,(NM_003039,,intron,1,of,11)",8287,NM_001135585,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1987,chr1,9124310,9124810,+,0,,"intron,(NM_003039,,intron,1,of,11)",5327,NM_001135585,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1988,chr1,9127237,9127737,+,0,,"intron,(NM_003039,,intron,1,of,11)",2400,NM_001135585,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1989,chr1,9129544,9130044,+,0,,"promoter-TSS,(NM_001135585)",93,NM_001135585,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1990,chr1,9133459,9133959,+,0,,Intergenic,-3822,NM_003039,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1991,chr1,9134964,9135464,+,0,,Intergenic,-5327,NM_003039,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1992,chr1,9136188,9136688,+,0,,Intergenic,-6551,NM_003039,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1993,chr1,9138117,9138617,+,0,,Intergenic,-8480,NM_003039,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1994,chr1,9138665,9139165,+,0,,Intergenic,-9028,NM_003039,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1995,chr1,9139191,9139691,+,0,,Intergenic,-9554,NM_003039,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1996,chr1,9140331,9140831,+,0,,Intergenic,-10694,NM_003039,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1997,chr1,9143213,9143713,+,0,,Intergenic,-13576,NM_003039,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1998,chr1,9144960,9145460,+,0,,Intergenic,-15323,NM_003039,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
1999,chr1,9153612,9154112,+,0,,Intergenic,-23975,NM_003039,6518,Hs.530003,NM_003039,SLC2A5,"solute,carrier,family,2,(facilitated,glucose/fructose,transporter),,member,5"
2204,chr1,9819527,9820027,+,0,,"intron,(NM_001009566,,intron,2,of,18)",64773,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2205,chr1,9824610,9825110,+,0,,"intron,(NM_001009566,,intron,2,of,18)",59690,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2206,chr1,9830367,9830867,+,0,,"intron,(NM_001009566,,intron,2,of,18)",53933,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2207,chr1,9835440,9835940,+,0,,"intron,(NM_001009566,,intron,1,of,18)",48860,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2208,chr1,9844564,9845064,+,0,,"intron,(NM_001009566,,intron,1,of,18)",39736,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2209,chr1,9847653,9848153,+,0,,"intron,(NM_001009566,,intron,1,of,18)",36647,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2210,chr1,9853704,9854204,+,0,,"intron,(NM_001009566,,intron,1,of,18)",30596,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2211,chr1,9854604,9855104,+,0,,"intron,(NM_001009566,,intron,1,of,18)",29696,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2212,chr1,9860077,9860577,+,0,,"intron,(NM_001009566,,intron,1,of,18)",24223,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2213,chr1,9867596,9868096,+,0,,"intron,(NM_001009566,,intron,1,of,18)",16704,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2214,chr1,9869255,9869755,+,0,,"intron,(NM_001009566,,intron,1,of,18)",15045,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2215,chr1,9882899,9883399,+,0,,"intron,(NM_001009566,,intron,1,of,18)",1401,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2216,chr1,9883723,9884223,+,0,,"5',UTR,(NM_014944,,exon,1,of,18)",577,NM_001009566,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2217,chr1,9884324,9884824,+,0,,"promoter-TSS,(NM_014944)",-24,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2218,chr1,9885392,9885892,+,0,,Intergenic,-1092,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2219,chr1,9885939,9886439,+,0,,Intergenic,-1639,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2220,chr1,9887665,9888165,+,0,,Intergenic,-3365,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2221,chr1,9894590,9895090,+,0,,Intergenic,-10290,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2222,chr1,9896141,9896641,+,0,,Intergenic,-11841,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2223,chr1,9906055,9906555,+,0,,Intergenic,-21755,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2224,chr1,9907958,9908458,+,0,,"TTS,(NM_020248)",-23658,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2225,chr1,9909114,9909614,+,0,,"3',UTR,(NM_020248,,exon,6,of,6)",-24814,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2226,chr1,9909674,9910174,+,0,,"3',UTR,(NM_020248,,exon,6,of,6)",-25374,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2227,chr1,9910209,9910709,+,0,,"3',UTR,(NM_020248,,exon,6,of,6)",-25909,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2228,chr1,9910940,9911440,+,0,,"intron,(NM_001012329,,intron,4,of,4)",-26640,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2229,chr1,9912363,9912863,+,0,,"intron,(NM_001012329,,intron,4,of,4)",-28063,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2230,chr1,9918701,9919201,+,0,,"intron,(NM_001012329,,intron,4,of,4)",-34401,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2231,chr1,9919990,9920490,+,0,,"intron,(NM_001012329,,intron,4,of,4)",-35690,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2232,chr1,9921469,9921969,+,0,,"intron,(NM_001012329,,intron,4,of,4)",-37169,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2233,chr1,9922597,9923097,+,0,,"intron,(NM_001012329,,intron,4,of,4)",-38297,NM_014944,22883,Hs.29665,NM_014944,CLSTN1,"calsyntenin,1"
2462,chr1,11159635,11160135,+,0,,"promoter-TSS,(NM_002685)",53,NM_001001998,5394,Hs.632368,NM_002685,EXOSC10,"exosome,component,10"
5028,chr1,25754004,25754504,+,0,,Intergenic,-3095,NM_001282564,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5029,chr1,25755105,25755605,+,0,,Intergenic,-1994,NM_001282564,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5030,chr1,25756527,25757027,+,0,,"promoter-TSS,(NM_018202)",-572,NM_001282564,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5031,chr1,25757047,25757547,+,0,,"promoter-TSS,(NM_018202)",-52,NM_001282564,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5032,chr1,25757794,25758294,+,0,,"intron,(NM_001282564,,intron,1,of,8)",695,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5033,chr1,25758554,25759054,+,0,,"intron,(NM_001282564,,intron,1,of,8)",1455,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5034,chr1,25760820,25761320,+,0,,"intron,(NM_001282564,,intron,1,of,8)",3721,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5035,chr1,25761426,25761926,+,0,,"intron,(NM_001282564,,intron,1,of,8)",4327,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5036,chr1,25762250,25762750,+,0,,"intron,(NM_001282564,,intron,1,of,8)",5151,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5037,chr1,25769626,25770126,+,0,,"intron,(NM_001282564,,intron,1,of,8)",12527,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5038,chr1,25778255,25778755,+,0,,"intron,(NM_001282564,,intron,3,of,8)",21156,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5039,chr1,25782990,25783490,+,0,,"exon,(NM_018202,,exon,5,of,11)",25891,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5040,chr1,25784956,25785456,+,0,,"exon,(NM_018202,,exon,6,of,11)",27857,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5041,chr1,25788306,25788806,+,0,,"intron,(NM_018202,,intron,6,of,10)",31207,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5042,chr1,25793611,25794111,+,0,,"intron,(NM_018202,,intron,6,of,10)",36512,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5043,chr1,25794486,25794986,+,0,,"intron,(NM_018202,,intron,6,of,10)",37387,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5044,chr1,25798942,25799442,+,0,,"intron,(NM_018202,,intron,6,of,10)",41843,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5045,chr1,25800111,25800611,+,0,,"intron,(NM_018202,,intron,6,of,10)",43012,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5046,chr1,25801042,25801542,+,0,,"intron,(NM_018202,,intron,6,of,10)",43943,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
