,region,genes
877,chr1-128440376-128441475,"Dars (-23567), Cxcr4 (+151364)"
878,chr1-128444444-128444776,"Dars (-27251), Cxcr4 (+147680)"
879,chr1-128456909-128457824,"Dars (-40008), Cxcr4 (+134923)"
880,chr1-128472078-128473289,"Dars (-55325), Cxcr4 (+119606)"
882,chr1-128480854-128481107,"Dars (-63622), Cxcr4 (+111309)"
883,chr1-128506701-128507160,"Dars (-89572), Cxcr4 (+85359)"
884,chr1-128533747-128533994,"Dars (-116512), Cxcr4 (+58419)"
885,chr1-128539492-128539865,"Dars (-122320), Cxcr4 (+52611)"
886,chr1-128546902-128547277,"Dars (-129731), Cxcr4 (+45200)"
887,chr1-128574909-128575669,"Dars (-157930), Cxcr4 (+17001)"
888,chr1-128580355-128580670,"Dars (-163154), Cxcr4 (+11777)"
889,chr1-128590818-128592781,Cxcr4 (+490)
890,chr1-128592983-128593473,Cxcr4 (-938)
891,chr1-128612734-128613472,"Thsd7b (-660241), Cxcr4 (-20813)"
892,chr1-128615049-128615259,"Thsd7b (-658190), Cxcr4 (-22864)"
893,chr1-128633808-128634205,"Thsd7b (-639337), Cxcr4 (-41717)"
895,chr1-128643171-128643997,"Thsd7b (-629760), Cxcr4 (-51294)"
897,chr1-128654144-128655029,"Thsd7b (-618757), Cxcr4 (-62297)"
898,chr1-128658984-128659136,"Thsd7b (-614284), Cxcr4 (-66770)"
899,chr1-128675621-128675905,"Thsd7b (-597581), Cxcr4 (-83473)"
900,chr1-128679004-128679534,"Thsd7b (-594075), Cxcr4 (-86979)"
901,chr1-128687074-128687531,"Thsd7b (-586041), Cxcr4 (-95013)"
902,chr1-128688951-128689073,"Thsd7b (-584332), Cxcr4 (-96722)"
903,chr1-128689884-128690551,"Thsd7b (-583126), Cxcr4 (-97928)"
904,chr1-128701361-128701702,"Thsd7b (-571812), Cxcr4 (-109242)"
905,chr1-128704202-128704296,"Thsd7b (-569095), Cxcr4 (-111959)"
906,chr1-128704852-128705549,"Thsd7b (-568143), Cxcr4 (-112911)"
907,chr1-128712820-128713171,"Thsd7b (-560348), Cxcr4 (-120706)"
908,chr1-128722307-128722486,"Thsd7b (-550947), Cxcr4 (-130107)"
909,chr1-128724495-128724980,"Thsd7b (-548606), Cxcr4 (-132448)"
910,chr1-128749529-128749981,"Thsd7b (-523589), Cxcr4 (-157465)"
912,chr1-128762185-128762564,"Thsd7b (-510969), Cxcr4 (-170085)"
913,chr1-128785385-128786109,"Thsd7b (-487597), Cxcr4 (-193457)"
914,chr1-128803762-128804349,"Thsd7b (-469288), Cxcr4 (-211766)"
915,chr1-128822107-128822254,"Thsd7b (-451163), Cxcr4 (-229891)"
916,chr1-128824299-128824510,"Thsd7b (-448939), Cxcr4 (-232115)"
917,chr1-128828895-128829030,"Thsd7b (-444381), Cxcr4 (-236673)"
918,chr1-128829543-128829977,"Thsd7b (-443584), Cxcr4 (-237470)"
919,chr1-128832368-128832912,"Thsd7b (-440704), Cxcr4 (-240350)"
920,chr1-128854785-128855056,"Thsd7b (-418423), Cxcr4 (-262631)"
921,chr1-128875376-128875711,"Thsd7b (-397800), Cxcr4 (-283254)"
922,chr1-128999729-129000340,"Cxcr4 (-407745), Thsd7b (-273309)"
924,chr1-129244425-129244555,"Cxcr4 (-652200), Thsd7b (-28854)"
1442,chr1-134043582-134043810,"Fmod (+6442), Btg2 (+35424)"
1443,chr1-134045910-134046214,"Fmod (+8808), Btg2 (+33058)"
1444,chr1-134048843-134049149,"Fmod (+11742), Btg2 (+30124)"
1445,chr1-134053181-134053564,"Fmod (+16119), Btg2 (+25747)"
1446,chr1-134055159-134055396,"Fmod (+18024), Btg2 (+23842)"
1447,chr1-134058929-134059156,"Btg2 (+20077), Fmod (+21789)"
1448,chr1-134060818-134061442,"Btg2 (+17990), Fmod (+23876)"
1449,chr1-134063449-134064070,"Btg2 (+15360), Fmod (+26506)"
1450,chr1-134065173-134065709,"Btg2 (+13679), Fmod (+28187)"
1451,chr1-134067141-134067546,"Btg2 (+11776), Fmod (+30090)"
1452,chr1-134073232-134073792,"Btg2 (+5608), Fmod (+36258)"
1453,chr1-134077545-134077820,"Btg2 (+1437), Fmod (+40429)"
1454,chr1-134078277-134078365,Btg2 (+799)
1455,chr1-134078625-134080238,Btg2 (-312)
1456,chr1-134086669-134087389,"Chit1 (-24213), Btg2 (-7909)"
1457,chr1-134092437-134093580,"Chit1 (-18233), Btg2 (-13889)"
1458,chr1-134093799-134094101,"Chit1 (-17292), Btg2 (-14830)"
1459,chr1-134098798-134099896,"Btg2 (-20227), Chit1 (-11895)"
1513,chr1-134556277-134557281,Kdm5b (-3392)
1514,chr1-134560064-134561605,Kdm5b (+664)
1515,chr1-134570361-134570895,"Syt2 (-138672), Kdm5b (+10457)"
1516,chr1-134573460-134573728,"Syt2 (-135706), Kdm5b (+13423)"
1517,chr1-134583532-134583915,"Syt2 (-125576), Kdm5b (+23553)"
1518,chr1-134597233-134597905,"Syt2 (-111731), Kdm5b (+37398)"
1519,chr1-134604172-134604307,"Syt2 (-105060), Kdm5b (+44069)"
1520,chr1-134636788-134637126,"Syt2 (-72343), Kdm5b (+76786)"
1521,chr1-134638247-134638764,"Syt2 (-70794), Kdm5b (+78335)"
1522,chr1-134645078-134645619,"Syt2 (-63951), Kdm5b (+85178)"
1523,chr1-134646225-134647155,"Syt2 (-62610), Kdm5b (+86519)"
1524,chr1-134651772-134651871,"Syt2 (-57478), Kdm5b (+91651)"
1525,chr1-134664808-134665256,"Syt2 (-44268), Kdm5b (+104861)"
1526,chr1-134674456-134674622,"Syt2 (-34761), Kdm5b (+114368)"
1527,chr1-134679551-134679731,"Syt2 (-29659), Kdm5b (+119470)"
1528,chr1-134680796-134680921,"Syt2 (-28441), Kdm5b (+120688)"
1530,chr1-134703343-134703869,"Syt2 (-5694), Kdm5b (+143435)"
1686,chr1-135770272-135770474,"Tnni1 (-29460), Phlda3 (+4254)"
1687,chr1-135770952-135771518,"Tnni1 (-28598), Phlda3 (+5116)"
1688,chr1-135776393-135776964,"Tnni1 (-23154), Phlda3 (+10560)"
1689,chr1-135781335-135781532,"Tnni1 (-18399), Phlda3 (+15315)"
1690,chr1-135782802-135783529,"Tnni1 (-16667), Phlda3 (+17047)"
1691,chr1-135783741-135784224,"Tnni1 (-15850), Phlda3 (+17864)"
1692,chr1-135787437-135787578,"Tnni1 (-12325), Phlda3 (+21389)"
1693,chr1-135787935-135788055,"Tnni1 (-11838), Phlda3 (+21876)"
1694,chr1-135788819-135789007,"Tnni1 (-10920), Phlda3 (+22794)"
1695,chr1-135789948-135790095,"Tnni1 (-9811), Phlda3 (+23903)"
1696,chr1-135793413-135795004,"Tnni1 (-5624), Phlda3 (+28090)"
1697,chr1-135799055-135799177,Tnni1 (-717)
1698,chr1-135800595-135800803,Tnni1 (+866)
1699,chr1-135811218-135811694,"Lad1 (-7142), Tnni1 (+11623)"
2107,chr1-143784505-143784673,"Uchl5 (+7317), Rgs2 (+219572)"
2108,chr1-143788752-143789079,"Uchl5 (+11644), Rgs2 (+215245)"
2109,chr1-143803292-143803922,"Uchl5 (+26335), Rgs2 (+200554)"
2110,chr1-143813714-143814383,"Uchl5 (+36777), Rgs2 (+190112)"
2111,chr1-143820249-143820874,"Uchl5 (+43290), Rgs2 (+183599)"
2112,chr1-143822464-143822794,"Uchl5 (+45357), Rgs2 (+181532)"
2113,chr1-143836706-143837808,"Uchl5 (+59985), Rgs2 (+166904)"
2114,chr1-143852210-143853463,"Uchl5 (+75565), Rgs2 (+151324)"
2115,chr1-143853729-143854096,"Uchl5 (+76641), Rgs2 (+150248)"
2116,chr1-143859853-143860072,"Uchl5 (+82691), Rgs2 (+144198)"
2117,chr1-143872382-143872771,"Uchl5 (+95305), Rgs2 (+131584)"
2118,chr1-143879651-143879875,"Uchl5 (+102491), Rgs2 (+124398)"
2119,chr1-143881118-143881940,"Uchl5 (+104257), Rgs2 (+122632)"
2120,chr1-143885320-143885539,"Uchl5 (+108158), Rgs2 (+118731)"
2121,chr1-143888661-143889193,"Uchl5 (+111655), Rgs2 (+115234)"
2122,chr1-143906891-143907113,"Rgs2 (+97159), Uchl5 (+129730)"
2123,chr1-143907438-143907557,"Rgs2 (+96663), Uchl5 (+130226)"
2124,chr1-143908543-143908631,"Rgs2 (+95574), Uchl5 (+131315)"
2125,chr1-143910342-143911114,"Rgs2 (+93433), Uchl5 (+133456)"
2126,chr1-143916474-143917084,"Rgs2 (+87382), Uchl5 (+139507)"
2127,chr1-143919395-143919778,"Rgs2 (+84574), Uchl5 (+142315)"
2128,chr1-143929948-143930153,"Rgs2 (+74110), Uchl5 (+152779)"
2129,chr1-143932463-143932700,"Rgs2 (+71579), Uchl5 (+155310)"
2130,chr1-143934050-143934373,"Rgs2 (+69949), Uchl5 (+156940)"
2131,chr1-143937041-143937146,"Rgs2 (+67067), Uchl5 (+159822)"
2132,chr1-143939886-143940087,"Rgs2 (+64174), Uchl5 (+162715)"
2133,chr1-143941524-143941760,"Rgs2 (+62519), Uchl5 (+164370)"
2134,chr1-143988853-143989044,"Rgs2 (+15212), Uchl5 (+211677)"
2135,chr1-143989902-143990732,"Rgs2 (+13844), Uchl5 (+213045)"
2136,chr1-144001490-144001641,"Rgs2 (+2595), Uchl5 (+224294)"
2137,chr1-144003498-144005128,Rgs2 (-152)
2138,chr1-144006492-144006902,Rgs2 (-2536)
2139,chr1-144018536-144019038,"Rgs2 (-14626), Rgs13 (+158488)"
2140,chr1-144152597-144152934,"Rgs2 (-148605), Rgs13 (+24509)"
2141,chr1-144159574-144159711,"Rgs2 (-155482), Rgs13 (+17632)"
2142,chr1-144173630-144174027,"Rgs2 (-169668), Rgs13 (+3446)"
2162,chr1-145138529-145139408,Rgs18 (-363534)
2163,chr1-145203592-145203757,Rgs18 (-428240)
2164,chr1-145344420-145344680,Rgs18 (-569115)
2187,chr1-148993728-148993825,Pla2g4a (+967513)
2188,chr1-149070194-149070523,Pla2g4a (+890931)
2189,chr1-149103551-149103670,Pla2g4a (+857679)
2190,chr1-149127411-149128258,Pla2g4a (+833455)
2191,chr1-149129834-149130065,Pla2g4a (+831340)
2192,chr1-149157897-149158493,Pla2g4a (+803095)
2195,chr1-149204632-149205489,Pla2g4a (+756229)
